has,prefers,count
production_all_sources,consumption_other,1.688429812
production_all_sources,revenue_other,1.687199227
production_nuclear,production_all_sources,1.679344427
electricity_import,consumption_transportation,1.677825608
price_industrial,price_other,1.670405236
price_commercial,price_other,1.666301615
production_renewables,electricity_export,1.662641862
production_natural_gas,revenue_other,1.654888799
revenue_industrial,revenue_other,1.635972777
production_coal,revenue_industrial,1.626167894
production_natural_gas,consumption_other,1.625685463
production_nuclear,consumption_all_sectors,1.623342836
production_coal,consumption_all_sectors,1.623338655
revenue_industrial,consumption_other,1.61877938
production_natural_gas,consumption_industrial,1.616418648
production_nuclear,consumption_commercial,1.600721246
production_nuclear,consumption_residential,1.594063778
production_coal,consumption_residential,1.585818396
revenue_commercial,consumption_transportation,1.58450538
consumption_industrial,consumption_other,1.583031672
production_nuclear,revenue_all_sectors,1.581286535
production_nuclear,revenue_residential,1.57909986
revenue_commercial,consumption_industrial,1.572635929
revenue_other,consumption_industrial,1.571543108
production_nuclear,consumption_industrial,1.549350865
production_nuclear,revenue_industrial,1.541745891
price_commercial,consumption_transportation,1.538561429
price_commercial,price_transportation,1.537495132
revenue_commercial,revenue_transportation,1.537175934
price_commercial,revenue_transportation,1.534278493
production_nuclear,revenue_commercial,1.531422116
production_nuclear,consumption_other,1.531144322
production_nuclear,revenue_other,1.530678109
price_all_sectors,price_transportation,1.515891554
price_residential,revenue_transportation,1.514646562
price_residential,consumption_transportation,1.51140324
price_residential,price_transportation,1.510629185
price_all_sectors,consumption_transportation,1.50399373
price_all_sectors,revenue_transportation,1.503396138
production_other,consumption_residential,1.498200057
electricity_import,revenue_other,1.497900288
production_other,revenue_residential,1.468713374
production_coal,revenue_residential,1.456773073
production_coal,production_nuclear,1.454005304
production_other,consumption_commercial,1.453398127
production_renewables,revenue_commercial,1.451423198
production_coal,consumption_commercial,1.443466675
electricity_export,electricity_import,1.439715003
revenue_all_sectors,consumption_transportation,1.435037405
production_other,revenue_other,1.430214466
production_coal,revenue_all_sectors,1.423865736
production_other,consumption_all_sectors,1.420434195
price_industrial,price_transportation,1.419740819
electricity_import,revenue_commercial,1.419048849
production_other,revenue_all_sectors,1.418140847
production_renewables,consumption_commercial,1.411855904
production_other,revenue_commercial,1.404808014
production_nuclear,consumption_transportation,1.403894089
electricity_import,consumption_other,1.398823773
production_renewables,revenue_all_sectors,1.398338103
consumption_commercial,consumption_transportation,1.39800819
revenue_all_sectors,revenue_transportation,1.386080405
production_other,consumption_other,1.37882861
production_renewables,electricity_import,1.375911889
production_natural_gas,production_other,1.373516658
production_other,production_all_sources,1.364031827
production_renewables,revenue_residential,1.348195234
revenue_residential,consumption_transportation,1.346914778
production_renewables,consumption_all_sectors,1.346080811
revenue_transportation,consumption_commercial,1.342439518
production_renewables,revenue_other,1.333098079
production_renewables,consumption_other,1.32204571
price_transportation,revenue_transportation,1.320284034
production_nuclear,revenue_transportation,1.316753235
production_renewables,consumption_residential,1.315689179
production_coal,consumption_other,1.3107278
revenue_residential,revenue_transportation,1.309185469
electricity_import,revenue_all_sectors,1.306534983
production_natural_gas,production_nuclear,1.304586565
production_natural_gas,production_coal,1.292589209
production_renewables,revenue_industrial,1.289260442
production_renewables,production_all_sources,1.28912148
production_renewables,production_natural_gas,1.28617301
electricity_import,consumption_commercial,1.275639062
production_coal,revenue_other,1.271307628
electricity_import,price_residential,1.271134386
electricity_import,price_commercial,1.266811069
electricity_export,revenue_other,1.266678198
production_other,consumption_transportation,1.262490408
price_all_sectors,revenue_commercial,1.261878253
electricity_import,price_all_sectors,1.25995773
price_commercial,revenue_other,1.25881107
production_coal,revenue_commercial,1.258699683
price_commercial,revenue_commercial,1.257614333
price_industrial,consumption_transportation,1.250310423
electricity_export,consumption_other,1.25017209
price_residential,revenue_commercial,1.249521569
electricity_import,revenue_residential,1.238880792
production_renewables,consumption_transportation,1.237980614
consumption_all_sectors,consumption_transportation,1.235938388
price_industrial,revenue_transportation,1.231685628
price_residential,revenue_other,1.225606581
price_transportation,consumption_transportation,1.223999438
production_other,revenue_transportation,1.21832753
production_renewables,consumption_industrial,1.218268491
production_renewables,revenue_transportation,1.215914923
price_all_sectors,revenue_other,1.21016687
production_other,revenue_industrial,1.19857852
production_other,price_all_sectors,1.193635059
production_all_sources,consumption_transportation,1.19263404
production_other,price_commercial,1.189876919
production_nuclear,production_other,1.189263284
price_all_sectors,revenue_all_sectors,1.184927556
revenue_transportation,consumption_all_sectors,1.183509147
price_residential,revenue_all_sectors,1.182647962
price_commercial,revenue_all_sectors,1.181977284
production_other,price_residential,1.176996489
electricity_import,price_transportation,1.176129822
consumption_residential,consumption_transportation,1.17184146
price_commercial,consumption_other,1.162596925
production_other,consumption_industrial,1.160002808
electricity_import,consumption_all_sectors,1.156585808
price_all_sectors,revenue_residential,1.153695587
electricity_export,revenue_transportation,1.151836676
price_residential,revenue_residential,1.151300375
production_coal,export_minus_import,1.150686373
production_other,price_industrial,1.147199517
price_industrial,revenue_commercial,1.146419809
production_natural_gas,consumption_transportation,1.145699948
electricity_export,export_minus_import,1.144326341
production_other,electricity_import,1.141896056
production_all_sources,revenue_transportation,1.141679766
electricity_export,consumption_transportation,1.140803047
price_commercial,revenue_residential,1.139267438
price_residential,consumption_other,1.133243831
production_coal,production_other,1.131638353
revenue_transportation,consumption_residential,1.131342951
production_natural_gas,price_all_sectors,1.130923471
electricity_export,consumption_commercial,1.12720909
production_natural_gas,revenue_transportation,1.126768015
price_transportation,revenue_commercial,1.125635963
production_natural_gas,price_residential,1.124654886
electricity_export,revenue_commercial,1.124478394
electricity_import,price_industrial,1.122934547
production_natural_gas,electricity_import,1.121854136
price_all_sectors,consumption_other,1.118399832
revenue_industrial,consumption_transportation,1.11785397
production_natural_gas,price_commercial,1.115613209
production_nuclear,electricity_import,1.113717012
electricity_import,consumption_residential,1.108230946
production_all_sources,electricity_export,1.108083283
electricity_export,consumption_all_sectors,1.104799089
production_renewables,production_nuclear,1.102852118
electricity_import,price_other,1.101603214
electricity_import,revenue_industrial,1.101173153
electricity_export,revenue_all_sectors,1.094985243
price_all_sectors,consumption_commercial,1.093107781
electricity_export,consumption_residential,1.088915846
price_industrial,revenue_all_sectors,1.087179945
price_residential,consumption_commercial,1.083756322
production_natural_gas,price_industrial,1.082862174
price_commercial,consumption_commercial,1.081551488
production_all_sources,electricity_import,1.079112288
electricity_export,revenue_residential,1.075678236
price_transportation,revenue_all_sectors,1.075605116
production_other,price_other,1.070529576
electricity_export,consumption_industrial,1.066615133
production_natural_gas,price_transportation,1.064520598
price_transportation,revenue_residential,1.06233563
price_industrial,revenue_residential,1.060566145
price_commercial,revenue_industrial,1.059901174
price_residential,revenue_industrial,1.055014561
revenue_industrial,revenue_transportation,1.050665056
production_other,electricity_export,1.049430696
production_renewables,production_other,1.047801613
electricity_export,revenue_industrial,1.038401318
production_nuclear,electricity_export,1.036075632
production_nuclear,price_residential,1.036030279
export_minus_import,consumption_industrial,1.033332978
price_all_sectors,revenue_industrial,1.032288434
production_nuclear,price_commercial,1.024789686
production_nuclear,price_all_sectors,1.020818991
price_industrial,revenue_other,1.019653552
production_other,price_transportation,1.016223775
production_natural_gas,electricity_export,1.008261037
electricity_import,consumption_industrial,1.007763664
production_renewables,price_commercial,1.007550532
consumption_industrial,consumption_transportation,1.006598319
production_renewables,export_minus_import,1.002495893
price_industrial,consumption_commercial,1.0000704
price_industrial,revenue_industrial,0.996959827
production_renewables,price_all_sectors,0.992193048
price_transportation,consumption_commercial,0.988017496
production_all_sources,export_minus_import,0.98079864
price_all_sectors,consumption_residential,0.979469145
price_residential,consumption_all_sectors,0.975751156
price_commercial,consumption_all_sectors,0.975476142
production_renewables,price_residential,0.97318929
price_all_sectors,consumption_all_sectors,0.972789726
price_residential,consumption_residential,0.972734015
price_commercial,consumption_residential,0.968349727
electricity_export,price_commercial,0.961390444
revenue_transportation,consumption_industrial,0.955998614
price_industrial,consumption_other,0.953785486
production_nuclear,price_transportation,0.950908466
price_transportation,revenue_industrial,0.949544456
electricity_export,price_all_sectors,0.948799168
production_natural_gas,price_other,0.945832589
electricity_export,price_transportation,0.941168106
price_transportation,consumption_all_sectors,0.941111288
price_transportation,consumption_residential,0.940553797
electricity_export,price_residential,0.938897753
export_minus_import,consumption_residential,0.936664707
production_renewables,price_industrial,0.936197982
production_nuclear,price_industrial,0.932273346
production_coal,electricity_export,0.918873159
price_other,revenue_commercial,0.916743118
production_all_sources,price_residential,0.913083498
export_minus_import,revenue_industrial,0.912677864
price_industrial,consumption_residential,0.91167581
production_all_sources,price_commercial,0.908821795
production_all_sources,price_transportation,0.905560081
electricity_export,price_industrial,0.904459719
price_industrial,consumption_all_sectors,0.89976363
production_nuclear,export_minus_import,0.897395206
production_all_sources,price_all_sectors,0.897063545
export_minus_import,consumption_all_sectors,0.893376504
price_transportation,consumption_industrial,0.885888181
electricity_export,price_other,0.884113616
production_nuclear,price_other,0.883036665
production_coal,consumption_transportation,0.875064924
production_other,export_minus_import,0.874746192
production_natural_gas,export_minus_import,0.870940638
price_other,revenue_all_sectors,0.869399148
production_renewables,price_transportation,0.867261809
production_coal,revenue_transportation,0.856094217
production_renewables,price_other,0.85571992
price_other,revenue_industrial,0.855455181
production_renewables,production_coal,0.855080156
price_other,revenue_residential,0.850929614
price_commercial,consumption_industrial,0.843829222
price_residential,consumption_industrial,0.837408005
production_coal,price_transportation,0.834097365
production_all_sources,price_industrial,0.830158108
price_other,consumption_commercial,0.828918186
price_other,revenue_other,0.82120843
production_coal,electricity_import,0.816930975
export_minus_import,price_industrial,0.804481479
price_all_sectors,consumption_industrial,0.804030508
export_minus_import,price_other,0.802681352
export_minus_import,revenue_residential,0.784396552
price_other,consumption_residential,0.779805669
export_minus_import,consumption_commercial,0.776299706
export_minus_import,price_transportation,0.775220372
price_other,consumption_all_sectors,0.77316484
price_industrial,consumption_industrial,0.771262611
production_all_sources,price_other,0.765954115
price_other,consumption_industrial,0.760513951
price_other,consumption_other,0.734104393
export_minus_import,revenue_all_sectors,0.721997971
production_coal,price_other,0.703138632
production_coal,price_residential,0.682754756
export_minus_import,price_commercial,0.681761589
export_minus_import,price_all_sectors,0.681395094
export_minus_import,consumption_other,0.674546696
production_coal,price_commercial,0.673518764
export_minus_import,price_residential,0.662855251
production_coal,price_all_sectors,0.644073164
production_coal,price_industrial,0.63195242
export_minus_import,revenue_commercial,0.616579782
export_minus_import,revenue_other,0.564625673
export_minus_import,consumption_transportation,0.364856357
export_minus_import,revenue_transportation,0.342621933
electricity_import,export_minus_import,0.174728466
consumption_other,revenue_transportation,
consumption_transportation,consumption_other,
revenue_other,price_transportation,
consumption_transportation,price_other,
revenue_transportation,revenue_other,
price_transportation,price_other,
revenue_transportation,price_other,
consumption_transportation,revenue_other,
consumption_other,price_transportation,
price_commercial,price_all_sectors,1.987984307
price_residential,price_all_sectors,1.987373531
revenue_residential,revenue_all_sectors,1.98283685
consumption_commercial,revenue_all_sectors,1.979040702
price_residential,price_commercial,1.978735551
consumption_residential,consumption_all_sectors,1.97858731
consumption_transportation,revenue_transportation,1.974497606
consumption_other,revenue_other,1.972265485
consumption_commercial,revenue_residential,1.971953252
revenue_commercial,revenue_all_sectors,1.969050267
consumption_commercial,consumption_all_sectors,1.959633353
consumption_residential,revenue_residential,1.958666007
price_industrial,price_all_sectors,1.954025238
consumption_all_sectors,revenue_residential,1.95129445
consumption_commercial,revenue_commercial,1.950837481
consumption_all_sectors,production_all_sources,1.949946128
consumption_residential,consumption_commercial,1.945227115
consumption_all_sectors,revenue_all_sectors,1.944145596
price_industrial,price_commercial,1.936221071
consumption_industrial,revenue_industrial,1.929274138
revenue_residential,revenue_commercial,1.928249146
price_residential,price_industrial,1.926603483
consumption_residential,production_all_sources,1.925467532
consumption_residential,revenue_all_sectors,1.918676475
consumption_all_sectors,revenue_industrial,1.888577211
consumption_industrial,production_all_sources,1.888572133
revenue_residential,production_all_sources,1.876961282
revenue_industrial,production_all_sources,1.871928445
consumption_commercial,production_all_sources,1.865890382
consumption_industrial,consumption_all_sectors,1.861867573
revenue_all_sectors,production_all_sources,1.858340696
consumption_all_sectors,revenue_commercial,1.854355929
revenue_industrial,revenue_all_sectors,1.85174877
revenue_residential,production_natural_gas,1.841251365
consumption_residential,revenue_commercial,1.822730776
revenue_all_sectors,production_natural_gas,1.820834717
revenue_residential,revenue_industrial,1.813368163
consumption_residential,revenue_industrial,1.805972649
consumption_residential,production_natural_gas,1.805962601
revenue_other,revenue_all_sectors,1.804568903
consumption_commercial,revenue_industrial,1.803824942
consumption_all_sectors,production_natural_gas,1.797969451
consumption_commercial,production_natural_gas,1.793179438
consumption_industrial,production_coal,1.791062792
revenue_residential,revenue_other,1.784708061
revenue_other,revenue_commercial,1.782454083
consumption_commercial,revenue_other,1.777927716
consumption_residential,consumption_industrial,1.777838641
production_all_sources,production_natural_gas,1.772251057
consumption_other,revenue_all_sectors,1.763789064
consumption_other,revenue_residential,1.755561058
consumption_other,consumption_commercial,1.74864609
consumption_all_sectors,revenue_other,1.748190018
revenue_commercial,production_natural_gas,1.747216859
production_all_sources,production_coal,1.744717418
consumption_other,consumption_all_sectors,1.744231623
revenue_industrial,revenue_commercial,1.737624218
revenue_commercial,production_all_sources,1.737054568
revenue_industrial,production_natural_gas,1.729887603
consumption_other,revenue_commercial,1.7222343
consumption_industrial,revenue_all_sectors,1.721308897
price_residential,price_other,1.712746445
consumption_industrial,consumption_commercial,1.70946484
revenue_transportation,electricity_import,1.707259833
consumption_industrial,revenue_residential,1.703327992
consumption_residential,consumption_other,1.698126559
price_other,price_all_sectors,1.697060986
consumption_residential,revenue_other,1.695334794
consumption_other,production_all_sources,1.688429812
revenue_other,production_all_sources,1.687199227
production_all_sources,production_nuclear,1.679344427
consumption_transportation,electricity_import,1.677825608
price_other,price_industrial,1.670405236
price_other,price_commercial,1.666301615
electricity_export,production_renewables,1.662641862
revenue_other,production_natural_gas,1.654888799
revenue_other,revenue_industrial,1.635972777
revenue_industrial,production_coal,1.626167894
consumption_other,production_natural_gas,1.625685463
consumption_all_sectors,production_nuclear,1.623342836
consumption_all_sectors,production_coal,1.623338655
consumption_other,revenue_industrial,1.61877938
consumption_industrial,production_natural_gas,1.616418648
consumption_commercial,production_nuclear,1.600721246
consumption_residential,production_nuclear,1.594063778
consumption_residential,production_coal,1.585818396
consumption_transportation,revenue_commercial,1.58450538
consumption_other,consumption_industrial,1.583031672
revenue_all_sectors,production_nuclear,1.581286535
revenue_residential,production_nuclear,1.57909986
consumption_industrial,revenue_commercial,1.572635929
consumption_industrial,revenue_other,1.571543108
consumption_industrial,production_nuclear,1.549350865
revenue_industrial,production_nuclear,1.541745891
consumption_transportation,price_commercial,1.538561429
price_transportation,price_commercial,1.537495132
revenue_transportation,revenue_commercial,1.537175934
revenue_transportation,price_commercial,1.534278493
revenue_commercial,production_nuclear,1.531422116
consumption_other,production_nuclear,1.531144322
revenue_other,production_nuclear,1.530678109
price_transportation,price_all_sectors,1.515891554
revenue_transportation,price_residential,1.514646562
consumption_transportation,price_residential,1.51140324
price_transportation,price_residential,1.510629185
consumption_transportation,price_all_sectors,1.50399373
revenue_transportation,price_all_sectors,1.503396138
consumption_residential,production_other,1.498200057
revenue_other,electricity_import,1.497900288
revenue_residential,production_other,1.468713374
revenue_residential,production_coal,1.456773073
production_nuclear,production_coal,1.454005304
consumption_commercial,production_other,1.453398127
revenue_commercial,production_renewables,1.451423198
consumption_commercial,production_coal,1.443466675
electricity_import,electricity_export,1.439715003
consumption_transportation,revenue_all_sectors,1.435037405
revenue_other,production_other,1.430214466
revenue_all_sectors,production_coal,1.423865736
consumption_all_sectors,production_other,1.420434195
price_transportation,price_industrial,1.419740819
revenue_commercial,electricity_import,1.419048849
revenue_all_sectors,production_other,1.418140847
consumption_commercial,production_renewables,1.411855904
revenue_commercial,production_other,1.404808014
consumption_transportation,production_nuclear,1.403894089
consumption_other,electricity_import,1.398823773
revenue_all_sectors,production_renewables,1.398338103
consumption_transportation,consumption_commercial,1.39800819
revenue_transportation,revenue_all_sectors,1.386080405
consumption_other,production_other,1.37882861
electricity_import,production_renewables,1.375911889
production_other,production_natural_gas,1.373516658
production_all_sources,production_other,1.364031827
revenue_residential,production_renewables,1.348195234
consumption_transportation,revenue_residential,1.346914778
consumption_all_sectors,production_renewables,1.346080811
consumption_commercial,revenue_transportation,1.342439518
revenue_other,production_renewables,1.333098079
consumption_other,production_renewables,1.32204571
revenue_transportation,price_transportation,1.320284034
revenue_transportation,production_nuclear,1.316753235
consumption_residential,production_renewables,1.315689179
consumption_other,production_coal,1.3107278
revenue_transportation,revenue_residential,1.309185469
revenue_all_sectors,electricity_import,1.306534983
production_nuclear,production_natural_gas,1.304586565
production_coal,production_natural_gas,1.292589209
revenue_industrial,production_renewables,1.289260442
production_all_sources,production_renewables,1.28912148
production_natural_gas,production_renewables,1.28617301
consumption_commercial,electricity_import,1.275639062
revenue_other,production_coal,1.271307628
price_residential,electricity_import,1.271134386
price_commercial,electricity_import,1.266811069
revenue_other,electricity_export,1.266678198
consumption_transportation,production_other,1.262490408
revenue_commercial,price_all_sectors,1.261878253
price_all_sectors,electricity_import,1.25995773
revenue_other,price_commercial,1.25881107
revenue_commercial,production_coal,1.258699683
revenue_commercial,price_commercial,1.257614333
consumption_transportation,price_industrial,1.250310423
consumption_other,electricity_export,1.25017209
revenue_commercial,price_residential,1.249521569
revenue_residential,electricity_import,1.238880792
consumption_transportation,production_renewables,1.237980614
consumption_transportation,consumption_all_sectors,1.235938388
revenue_transportation,price_industrial,1.231685628
revenue_other,price_residential,1.225606581
consumption_transportation,price_transportation,1.223999438
revenue_transportation,production_other,1.21832753
consumption_industrial,production_renewables,1.218268491
revenue_transportation,production_renewables,1.215914923
revenue_other,price_all_sectors,1.21016687
revenue_industrial,production_other,1.19857852
price_all_sectors,production_other,1.193635059
consumption_transportation,production_all_sources,1.19263404
price_commercial,production_other,1.189876919
production_other,production_nuclear,1.189263284
revenue_all_sectors,price_all_sectors,1.184927556
consumption_all_sectors,revenue_transportation,1.183509147
revenue_all_sectors,price_residential,1.182647962
revenue_all_sectors,price_commercial,1.181977284
price_residential,production_other,1.176996489
price_transportation,electricity_import,1.176129822
consumption_transportation,consumption_residential,1.17184146
consumption_other,price_commercial,1.162596925
consumption_industrial,production_other,1.160002808
consumption_all_sectors,electricity_import,1.156585808
revenue_residential,price_all_sectors,1.153695587
revenue_transportation,electricity_export,1.151836676
revenue_residential,price_residential,1.151300375
export_minus_import,production_coal,1.150686373
price_industrial,production_other,1.147199517
revenue_commercial,price_industrial,1.146419809
consumption_transportation,production_natural_gas,1.145699948
export_minus_import,electricity_export,1.144326341
electricity_import,production_other,1.141896056
revenue_transportation,production_all_sources,1.141679766
consumption_transportation,electricity_export,1.140803047
revenue_residential,price_commercial,1.139267438
consumption_other,price_residential,1.133243831
production_other,production_coal,1.131638353
consumption_residential,revenue_transportation,1.131342951
price_all_sectors,production_natural_gas,1.130923471
consumption_commercial,electricity_export,1.12720909
revenue_transportation,production_natural_gas,1.126768015
revenue_commercial,price_transportation,1.125635963
price_residential,production_natural_gas,1.124654886
revenue_commercial,electricity_export,1.124478394
price_industrial,electricity_import,1.122934547
electricity_import,production_natural_gas,1.121854136
consumption_other,price_all_sectors,1.118399832
consumption_transportation,revenue_industrial,1.11785397
price_commercial,production_natural_gas,1.115613209
electricity_import,production_nuclear,1.113717012
consumption_residential,electricity_import,1.108230946
electricity_export,production_all_sources,1.108083283
consumption_all_sectors,electricity_export,1.104799089
production_nuclear,production_renewables,1.102852118
price_other,electricity_import,1.101603214
revenue_industrial,electricity_import,1.101173153
revenue_all_sectors,electricity_export,1.094985243
consumption_commercial,price_all_sectors,1.093107781
consumption_residential,electricity_export,1.088915846
revenue_all_sectors,price_industrial,1.087179945
consumption_commercial,price_residential,1.083756322
price_industrial,production_natural_gas,1.082862174
consumption_commercial,price_commercial,1.081551488
electricity_import,production_all_sources,1.079112288
revenue_residential,electricity_export,1.075678236
revenue_all_sectors,price_transportation,1.075605116
price_other,production_other,1.070529576
consumption_industrial,electricity_export,1.066615133
price_transportation,production_natural_gas,1.064520598
revenue_residential,price_transportation,1.06233563
revenue_residential,price_industrial,1.060566145
revenue_industrial,price_commercial,1.059901174
revenue_industrial,price_residential,1.055014561
revenue_transportation,revenue_industrial,1.050665056
electricity_export,production_other,1.049430696
production_other,production_renewables,1.047801613
revenue_industrial,electricity_export,1.038401318
electricity_export,production_nuclear,1.036075632
price_residential,production_nuclear,1.036030279
consumption_industrial,export_minus_import,1.033332978
revenue_industrial,price_all_sectors,1.032288434
price_commercial,production_nuclear,1.024789686
price_all_sectors,production_nuclear,1.020818991
revenue_other,price_industrial,1.019653552
price_transportation,production_other,1.016223775
electricity_export,production_natural_gas,1.008261037
consumption_industrial,electricity_import,1.007763664
price_commercial,production_renewables,1.007550532
consumption_transportation,consumption_industrial,1.006598319
export_minus_import,production_renewables,1.002495893
consumption_commercial,price_industrial,1.0000704
revenue_industrial,price_industrial,0.996959827
price_all_sectors,production_renewables,0.992193048
consumption_commercial,price_transportation,0.988017496
export_minus_import,production_all_sources,0.98079864
consumption_residential,price_all_sectors,0.979469145
consumption_all_sectors,price_residential,0.975751156
consumption_all_sectors,price_commercial,0.975476142
price_residential,production_renewables,0.97318929
consumption_all_sectors,price_all_sectors,0.972789726
consumption_residential,price_residential,0.972734015
consumption_residential,price_commercial,0.968349727
price_commercial,electricity_export,0.961390444
consumption_industrial,revenue_transportation,0.955998614
consumption_other,price_industrial,0.953785486
price_transportation,production_nuclear,0.950908466
revenue_industrial,price_transportation,0.949544456
price_all_sectors,electricity_export,0.948799168
price_other,production_natural_gas,0.945832589
price_transportation,electricity_export,0.941168106
consumption_all_sectors,price_transportation,0.941111288
consumption_residential,price_transportation,0.940553797
price_residential,electricity_export,0.938897753
consumption_residential,export_minus_import,0.936664707
price_industrial,production_renewables,0.936197982
price_industrial,production_nuclear,0.932273346
electricity_export,production_coal,0.918873159
revenue_commercial,price_other,0.916743118
price_residential,production_all_sources,0.913083498
revenue_industrial,export_minus_import,0.912677864
consumption_residential,price_industrial,0.91167581
price_commercial,production_all_sources,0.908821795
price_transportation,production_all_sources,0.905560081
price_industrial,electricity_export,0.904459719
consumption_all_sectors,price_industrial,0.89976363
export_minus_import,production_nuclear,0.897395206
price_all_sectors,production_all_sources,0.897063545
consumption_all_sectors,export_minus_import,0.893376504
consumption_industrial,price_transportation,0.885888181
price_other,electricity_export,0.884113616
price_other,production_nuclear,0.883036665
consumption_transportation,production_coal,0.875064924
export_minus_import,production_other,0.874746192
export_minus_import,production_natural_gas,0.870940638
revenue_all_sectors,price_other,0.869399148
price_transportation,production_renewables,0.867261809
revenue_transportation,production_coal,0.856094217
price_other,production_renewables,0.85571992
revenue_industrial,price_other,0.855455181
production_coal,production_renewables,0.855080156
revenue_residential,price_other,0.850929614
consumption_industrial,price_commercial,0.843829222
consumption_industrial,price_residential,0.837408005
price_transportation,production_coal,0.834097365
price_industrial,production_all_sources,0.830158108
consumption_commercial,price_other,0.828918186
revenue_other,price_other,0.82120843
electricity_import,production_coal,0.816930975
price_industrial,export_minus_import,0.804481479
consumption_industrial,price_all_sectors,0.804030508
price_other,export_minus_import,0.802681352
revenue_residential,export_minus_import,0.784396552
consumption_residential,price_other,0.779805669
consumption_commercial,export_minus_import,0.776299706
price_transportation,export_minus_import,0.775220372
consumption_all_sectors,price_other,0.77316484
consumption_industrial,price_industrial,0.771262611
price_other,production_all_sources,0.765954115
consumption_industrial,price_other,0.760513951
consumption_other,price_other,0.734104393
revenue_all_sectors,export_minus_import,0.721997971
price_other,production_coal,0.703138632
price_residential,production_coal,0.682754756
price_commercial,export_minus_import,0.681761589
price_all_sectors,export_minus_import,0.681395094
consumption_other,export_minus_import,0.674546696
price_commercial,production_coal,0.673518764
price_residential,export_minus_import,0.662855251
price_all_sectors,production_coal,0.644073164
price_industrial,production_coal,0.63195242
revenue_commercial,export_minus_import,0.616579782
revenue_other,export_minus_import,0.564625673
consumption_transportation,export_minus_import,0.364856357
revenue_transportation,export_minus_import,0.342621933
export_minus_import,electricity_import,0.174728466
